id;name;latitude;longitude
1;TAXI TRENTO - VIA SANTA CROCE;46.064461;11.12323
2;TAXI TRENTO - VIA DELLA SCIENZA E DEL LAVORO;46.059791;11.11596
3;TAXI TRENTO - PIAZZA DANTE;46.072017;11.121362
4;TAXI TRENTO - VIA PETRARCA;46.074755;11.123907
5;TAXI TRENTO - PIAZZALE ZUFFO;46.075811;11.109615
6;TAXI TRENTO - VIA GILLI;46.090976;11.118946
7;TAXI TRENTO - VIA DEGASPERI;46.044135;11.129531
8;TAXI TRENTO - LARGO MEDAGLIE D'ORO;46.057744;11.132683
9;TAXI TRENTO - VIA BELENZANI;46.067866;11.121281
