service_id;monday;tuesday;wednesday;thursday;friday;saturday;sunday;start_date;end_date
12024090920250627;1;1;1;1;1;1;1;20240909;20250627
12024091020250627;1;1;1;1;1;1;1;20240910;20250627
12024091120250627;1;1;1;1;1;1;1;20240911;20250627
12024093020241130;1;1;1;1;1;1;1;20240930;20241130
12024101820250627;1;1;1;1;1;1;1;20241018;20250627
12024103020250627;1;1;1;1;1;1;1;20241030;20250627
22024090920241207;1;1;1;1;1;1;0;20240909;20241207
22024090920250627;1;1;1;1;1;1;0;20240909;20250627
22024091020250627;1;1;1;1;1;1;0;20240910;20250627
22024091620250627;1;1;1;1;1;1;0;20240916;20250627
22024092620250627;1;1;1;1;1;1;0;20240926;20250627
22024093020241130;1;1;1;1;1;1;0;20240930;20241130
22024100720250627;1;1;1;1;1;1;0;20241007;20250627
22024100920250627;1;1;1;1;1;1;0;20241009;20250627
22024101620250627;1;1;1;1;1;1;0;20241016;20250627
22024102120250627;1;1;1;1;1;1;0;20241021;20250627
22024102520250627;1;1;1;1;1;1;0;20241025;20250627
22024102920250627;1;1;1;1;1;1;0;20241029;20250627
22024103020250627;1;1;1;1;1;1;0;20241030;20250627
22024120120250627;1;1;1;1;1;1;0;20241201;20250627
22024122320250316;1;1;1;1;1;1;0;20241223;20250316
42024090920250627;1;1;1;1;1;0;0;20240909;20250627
42024091420250627;1;1;1;1;1;0;0;20240914;20250627
42024093020241130;1;1;1;1;1;0;0;20240930;20241130
42024100920250627;1;1;1;1;1;0;0;20241009;20250627
42024101420250627;1;1;1;1;1;0;0;20241014;20250627
42024102120250627;1;1;1;1;1;0;0;20241021;20250627
42024102520250627;1;1;1;1;1;0;0;20241025;20250627
42024103020250627;1;1;1;1;1;0;0;20241030;20250627
42024120120250627;1;1;1;1;1;0;0;20241201;20250627
52024090920250627;1;1;1;1;1;1;0;20240909;20250627
52024091020250627;1;1;1;1;1;1;0;20240910;20250627
52024091820250627;1;1;1;1;1;1;0;20240918;20250627
52024101420250627;1;1;1;1;1;1;0;20241014;20250627
52024102120250627;1;1;1;1;1;1;0;20241021;20250627
52024102520250627;1;1;1;1;1;1;0;20241025;20250627
62024090920250627;1;1;1;1;1;0;0;20240909;20250627
62024091020250627;1;1;1;1;1;0;0;20240910;20250627
62024091220250627;1;1;1;1;1;0;0;20240912;20250627
62024091420250627;1;1;1;1;1;0;0;20240914;20250627
62024091720250627;1;1;1;1;1;0;0;20240917;20250627
62024091820250627;1;1;1;1;1;0;0;20240918;20250627
62024091920250627;1;1;1;1;1;0;0;20240919;20250627
62024092420250627;1;1;1;1;1;0;0;20240924;20250627
62024092720250627;1;1;1;1;1;0;0;20240927;20250627
62024102120250627;1;1;1;1;1;0;0;20241021;20250627
72024090920250627;0;0;0;0;0;0;1;20240909;20250627
72024093020241130;0;0;0;0;0;0;1;20240930;20241130
72024101620241225;0;0;0;0;0;0;1;20241016;20241225
72024102120250627;0;0;0;0;0;0;1;20241021;20250627
72024103120250627;0;0;0;0;0;0;1;20241031;20250627
