stop_id;stop_name;latitude;longitude;wheelchair_boarding
u_1;Baselga Del Bondone;46.078354;11.047183;2
u_2;Baselga Del Bondone;46.078528;11.047586;1
u_3;Belvedere;46.044409;11.105369;0
u_4;Lamar Ponte Avisio;46.134568;11.111001;1
u_5;Sp 85 Bivio Sopramonte;46.085069;11.069564;2
u_7;Maso Bolleri;46.102457;11.124144;2
u_8;Maso Bolleri;46.102269;11.123991;2
u_9;Borino;46.067127;11.165537;1
u_10;Cadine Strada Gardesana;46.088578;11.065061;1
u_11;Cadine Strada Gardesana;46.088767;11.064526;1
u_12;Canova Paludi;46.099273;11.109269;1
u_13;"Gardolo ""Materna Paludi""";46.103917;11.108166;2
u_15;Asiago S.Bartolameo;46.047706;11.137591;1
u_17;"Cognola ""Toresela""";46.07889;11.153522;2
u_18;"Cognola ""Toresela""";46.078916;11.154062;2
u_19;Cognola Bivio Civezzano;46.080507;11.158307;2
u_20;Cognola Bivio Civezzano;46.080506;11.158409;2
u_21;"Cognola ""Centro Civico""";46.07644;11.141608;1
u_22;Cognola Grezoni;46.075937;11.146884;2
u_23;Cognola Grezoni;46.075967;11.14658;2
u_24;San Vito;46.075378;11.139504;1
u_25;Cognola S.Vito;46.075681;11.14077;2
u_26;Cognola S.Vito;46.075653;11.141776;2
u_27;San Vito;46.075399;11.13889;1
u_28;"Cognola ""Scuole""";46.075713;11.144004;2
u_29;"Cognola ""Scuole""";46.075819;11.144105;2
u_30;"Cognola Alla Veduta ""Roza""";46.077643;11.151166;1
u_31;"Cognola Alla Veduta ""Roza""";46.078022;11.151578;2
u_32;"Brescia ""Villa Salvotti""";46.076115;11.101057;2
u_37;Degli Alpini Oberziner;46.079109;11.118075;2
u_38;Cortesano;46.124661;11.133726;0
u_39;Vigo Meano Alle Gorghe;46.129695;11.134602;1
u_40;Vigo Meano Alle Gorghe;46.129572;11.134665;2
u_43;Forte Bus De Vela;46.085345;11.069798;0
u_46;"Gabbiolo ""Campo Sportivo""";46.055301;11.14899;1
u_47;"Gabbiolo ""Campo Sportivo""";46.055279;11.148843;1
u_48;Sp 76 Carpenedi;46.117667;11.110047;2
u_49;Sp 76 Carpenedi;46.117278;11.108621;2
u_50;Gardolo S.Anna;46.111157;11.109534;1
u_51;Gardolo S.Anna;46.111087;11.109494;1
u_52;Gardolo P.Le Neufahrn Sud;46.106607;11.111622;1
u_53;Gardolo P.Le Neufahrn Nord;46.106673;11.11158;1
u_54;Gardolo Piazza;46.108364;11.111681;1
u_55;Gardolo Piazza;46.108465;11.111514;2
u_56;Canova Aichner;46.101923;11.103255;2
u_57;Canova Via Della Canova;46.100323;11.106659;1
u_58;Gardolo Don Milani 8 Marzo;46.103947;11.117561;2
u_59;"Gardolo D.Milani ""Piscina""";46.10671;11.114353;2
u_60;"Gardolo D.Milani ""Piscina""";46.106764;11.114361;2
u_61;Gardolo Don Milani 8 Marzo;46.104154;11.117338;2
u_62;Gardolo S.Anna Carpenedi;46.113334;11.107735;1
u_63;Gardolo S.Anna Carpenedi;46.113375;11.107612;1
u_64;Gardolo Svincolo Ss.12;46.106196;11.109014;1
u_65;Gazzadina Strada Vecchia;46.13011;11.126402;2
u_66;Gazzadina Al Pontat;46.128896;11.128728;2
u_67;Gazzadina Al Pontat;46.128751;11.129085;2
u_68;Gazzadina Strada Vecchia;46.130171;11.126098;2
u_69;Grotta Piazza;46.045775;11.151173;2
u_70;Grotta Bindesi;46.043306;11.151756;2
u_71;Grotta Bindesi;46.043679;11.151494;2
u_72;"Ss 12 ""Zona Ind.Le Ftm""";46.119198;11.106145;2
u_73;"Lamar ""Ftm""";46.125847;11.107861;2
u_74;"Lamar ""Ftm""";46.125967;11.107596;2
u_75;"Lamar ""Sottostazione Enel""";46.129144;11.109752;2
u_76;Largo Sauro;46.074753;11.125004;0
u_77;Lavis Nazionale;46.13858;11.109069;2
u_78;Lavis Piazza Caduti;46.138061;11.115898;2
u_79;"Lavis ""Municipio""";46.139289;11.112161;2
u_80;Lavis Rosmini Segantini;46.142225;11.108496;1
u_85;Centochiavi Dalla Fior;46.094565;11.120643;2
u_86;Centochiavi Chiocchetti;46.093919;11.120723;2
u_87;"Melta ""Case Itea""";46.102356;11.118127;1
u_88;Parco di Melta;46.097301;11.119758;0
u_89;Melta Centro;46.099084;11.119185;2
u_90;Melta Centro;46.100097;11.118761;1
u_91;Parco di Melta;46.097222;11.119861;0
u_92;"Bettini ""Madonna Bianca""";46.04238;11.132874;2
u_93;"Stella ""S.Gaetano""";46.036419;11.13043;2
u_94;"Ss 12 ""Casteller""";46.025382;11.132726;2
u_95;"Ss 12 ""Casteller""";46.025655;11.132788;2
u_96;"Madonna Bianca ""S.Gaetano""";46.037978;11.13066;1
u_97;Stella Marighetto;46.03424;11.131449;1
u_98;"Madonna Bianca ""Man""";46.040233;11.13044;2
u_99;"Ss 12 ""Le Caverne""";46.031037;11.132709;2
u_100;"Ss 12 ""Le Caverne""";46.030059;11.132908;1
u_101;Martignano Formigheta;46.089145;11.133132;1
u_102;Martignano Formigheta;46.088977;11.133177;1
u_103;"Martignano ""Chiesa""";46.088719;11.130593;2
u_104;"Sp 131 ""Maso Pradiscola""";46.083248;11.135662;2
u_105;"Sp 131 ""Maso Pradiscola""";46.083257;11.135788;1
u_106;Martignano P.Zza Menghin;46.090133;11.131586;2
u_107;Martignano P.Zza Menghin;46.090206;11.131471;2
u_108;Martignano Piazza Canopi;46.089258;11.130976;1
u_109;"Sp 131 ""Res. Silvana""";46.09764;11.126986;2
u_110;"Sp 131 ""Res. Silvana""";46.097687;11.12683;2
u_111;Martignano Ai Bolleri;46.094528;11.130103;2
u_112;Martignano Ai Bolleri;46.094843;11.129425;2
u_113;"Sopramonte ""Maso Banal""";46.069001;11.063551;2
u_115;Sp 131 Al Maso Specchio;46.10449;11.123519;2
u_116;Sp 131 Al Maso Specchio;46.104411;11.123396;2
u_117;"Ravina ""Maso Stella""";46.032327;11.112713;2
u_118;"Ravina ""Maso Stella""";46.032559;11.112917;2
u_119;Mattarello Piazza Perini;46.00691;11.128386;2
u_120;Mattarello Via Nazionale;46.012398;11.1306;1
u_121;Mattarello Via Nazionale;46.011656;11.130383;2
u_122;Mattarello Pomeranos;46.013587;11.131547;1
u_123;"Mattarello ""Ronchi""";46.017229;11.132453;2
u_124;"Mattarello ""Ronchi""";46.017316;11.132591;2
u_125;Mattarello S.Leonardo;46.006539;11.127593;2
u_127;Mattarello Catoni;46.009422;11.128968;1
u_128;Mattarello Rio Stolzano;46.002959;11.126782;2
u_129;Meano Bivio S.Lazzaro;46.128153;11.1152;2
u_130;Meano Bivio S.Lazzaro;46.127618;11.115305;2
u_131;"Sp 76 ""Piac""";46.126807;11.114628;1
u_133;"Sp 76 ""Maregioli""";46.130566;11.121651;2
u_134;"Sp 76 ""Maregioli""";46.130305;11.121329;1
u_135;"Meano ""Campo Sportivo""";46.128287;11.120321;1
u_136;"Meano ""Campo Sportivo""";46.128357;11.119865;1
u_137;"Meano ""Cimitero""";46.125734;11.118399;1
u_138;"Meano ""Cimitero""";46.125503;11.118357;1
u_139;"Sp 76 ""Via Rossa""";46.119793;11.111463;2
u_140;"Sp 76 ""Via Rossa""";46.11965;11.111323;2
u_141;Meano Piazza Dell'assunta;46.122693;11.116859;2
u_142;Meano Portoni;46.123508;11.116937;2
u_143;Sp 76 Dos di Lamar;46.124991;11.113511;2
u_144;Sp 76 Dos di Lamar;46.124688;11.112827;1
u_145;"Mesiano ""Fac. Ingegneria""";46.067111;11.139552;1
u_146;"Mesiano ""Fac. Ingegneria""";46.067201;11.139594;1
u_147;"Mesiano ""Stazione Fs""";46.064922;11.141795;1
u_148;"Mesiano ""Stazione Fs""";46.065054;11.141743;1
u_149;Povo Valoni;46.065426;11.146084;1
u_150;Povo Valoni;46.065751;11.146343;1
u_151;Montevaccino;46.108248;11.14267;0
u_152;Montevaccino di Sotto;46.109413;11.140128;2
u_153;Montevaccino di Sotto;46.109498;11.140077;2
u_154;"Sp 131 ""Paganin""";46.106369;11.137467;2
u_155;"Sp 131 ""Paganin""";46.106393;11.137553;2
u_156;"M.Vaccino ""Maso Librar""";46.11041;11.138496;2
u_157;"M.Vaccino ""Maso Librar""";46.110514;11.138462;2
u_158;"Ss 45 ""Montevideo""";46.080315;11.098555;2
u_159;Villazzano Valnigra;46.052083;11.146588;1
u_160;Villazzano Valnigra;46.052091;11.146369;1
u_161;Oltrecastello;46.072734;11.161992;0
u_162;F.Lli Fontana Gen. Cantore;46.076884;11.118989;1
u_163;"Piazza Dante ""Palazzo Pat""";46.072301;11.120437;1
u_165;Piazza di Fiera;46.065117;11.123289;0
u_166;S.Francesco Porta Nuova;46.06689;11.126409;1
u_167;Piazza Vicenza;46.062096;11.132883;0
u_168;Piazza Vicenza;46.062261;11.132819;0
u_171;"Brescia ""Piedicastello""";46.070815;11.113433;1
u_172;"Brescia ""Piedicastello""";46.070531;11.111447;1
u_173;Tangenziale Ovest Pezcoller;46.047882;11.11346;2
u_174;Ponte Lodovico;46.069376;11.138945;0
