id;type;capacity;latitude;longitude;city_id
464;traditional;4;46.1004005;11.1173506;1
465;traditional;4;46.1003418;11.1173579;1
264;traditional;6;46.0610566;11.1249376;1
265;traditional;8;46.0609113;11.1250897;1
266;traditional;8;46.0600593;11.1262063;1
268;traditional;4;46.0606659;11.1233547;1
267;traditional;8;46.0606743;11.1234456;1
271;traditional;12;46.0624128;11.1256809;1
272;traditional;8;46.0605533;11.1271301;1
255;traditional;9;46.0634264;11.1241814;1
256;traditional;7;46.0634634;11.1241907;1
462;traditional;4;46.0688027;11.1132163;1
463;traditional;4;46.1004034;11.1172721;1
466;traditional;4;46.1003172;11.1173351;1
467;traditional;4;46.1003103;11.1172872;1
468;frame lock;4;46.1004437;11.1170274;1
469;frame lock;6;46.1004995;11.1169946;1
470;frame lock;8;46.0884495;11.1334162;1
460;frame lock;8;46.0892147;11.1338319;1
262;traditional;6;46.0632456;11.1243794;1
275;traditional;8;46.0641806;11.1290176;1
278;traditional;8;46.0627281;11.1324147;1
279;traditional;3;46.0613808;11.1285536;1
246;traditional;5;46.0991179;11.1099429;1
247;traditional;5;46.0991863;11.1099239;1
285;traditional;5;46.1011710;11.1181662;1
287;traditional;6;46.1206115;11.0919620;1
288;traditional;6;46.1205758;11.0920194;1
289;traditional;6;46.1207416;11.0920554;1
290;traditional;6;46.1207896;11.0922461;1
291;traditional;6;46.1207740;11.0922629;1
295;traditional;10;46.0800004;11.1185933;1
296;traditional;10;46.0800068;11.1186101;1
297;traditional;5;46.0801680;11.1184727;1
300;traditional;12;46.0672516;11.1241706;1
286;traditional;4;46.1072336;11.1127589;1
292;traditional;6;46.0823889;11.1182014;1
293;traditional;8;46.0813971;11.1181484;1
298;frame lock;6;46.0906655;11.1176166;1
62;frame lock;6;46.0906735;11.1176377;1
61;frame lock;6;46.0906912;11.1176384;1
294;traditional;5;46.0814337;11.1178888;1
471;frame lock;6;46.0670923;11.1282902;1
473;frame lock;10;46.0667844;11.1290639;1
474;frame lock;24;46.0667514;11.1294515;1
472;frame lock;6;46.0670565;11.1284635;1
277;frame lock;18;46.0650520;11.1357671;1
276;frame lock;10;46.0648919;11.1356925;1
306;traditional;8;46.0591201;11.1264822;1
307;frame lock;14;46.0532114;11.1162551;1
308;traditional;4;46.0531980;11.1162110;1
315;traditional;7;46.0516874;11.1276478;1
274;traditional;4;46.0670615;11.1236034;1
316;traditional;7;46.0516400;11.1277604;1
317;traditional;3;46.0633099;11.0971197;1
324;traditional;5;46.0406970;11.1233200;1
319;traditional;6;46.0478969;11.1291708;1
303;traditional;10;46.0593263;11.1242605;1
