id;type;capacity;latitude;longitude;city_id
1;guarded;204;46.0752683;11.1102416;1
2;guarded;26;46.0702002;11.1136208;1
3;guarded;12;46.0659721;11.1147476;1
4;guarded;16;46.0546044;11.1361644;1
5;guarded;48;46.0575878;11.1129991;1
6;guarded;16;46.0403088;11.1248148;1
7;guarded;200;46.0729897;11.1200199;1
8;guarded;38;46.0700922;11.1285810;1
9;guarded;16;46.0900847;11.1135139;1
