id;access;fee;capacity;type;latitude;longitude;city_id
way/1244232517;public;yes;-1;street_side;46.0624853;11.1365071;1
way/1244232520;public;yes;-1;street_side;46.0625984;11.1363492;1
way/1245104504;public;yes;3;street_side;46.0625608;11.134693;1
way/1245104505;public;yes;2;street_side;46.0626558;11.1345565;1
way/1245104506;public;yes;4;street_side;46.0621443;11.134546;1
way/1245104507;public;no;2;street_side;46.0618492;11.1344901;1
way/1245108928;public;yes;4;street_side;46.061498;11.134492;1
way/1245108929;public;yes;2;street_side;46.0612698;11.134495;1
way/1245112432;public;yes;3;street_side;46.061144;11.1346291;1
way/1248801531;permit;no;-1;surface;46.0763361;11.1224649;1
way/1250072439;public;yes;2;street_side;46.0606983;11.1343723;1
way/1250088462;public;yes;1;street_side;46.0607187;11.1366851;1
way/1250088463;public;yes;5;street_side;46.0607169;11.1368393;1
way/1250088469;public;yes;1;street_side;46.0606667;11.1364193;1
way/1250088470;public;yes;2;street_side;46.0606655;11.1360693;1
way/1250088472;public;yes;1;street_side;46.0606676;11.1358184;1
way/1251283394;public;yes;10;street_side;46.0628206;11.1306419;1
way/1256974835;public;yes;9;street_side;46.0601067;11.1365972;1
way/1257131370;permit;no;16;surface;46.0586632;11.1337468;1
way/1259361533;public;no;-1;street_side;46.0408805;11.138087;1
way/1261951756;public;no;9;street_side;46.0869461;11.1631682;1
way/1265897956;public;no;-1;surface;46.1330579;11.1351129;1
way/1265897957;public;no;-1;street_side;46.1325184;11.1354391;1
node/1271454360;customers;no;-1;surface;46.0867922;11.1201946;1
node/1276868843;customers;no;-1;surface;46.0870528;11.1208621;1
node/1276868890;public;no;-1;surface;46.0879381;11.1214703;1
way/1281826575;customers;no;-1;surface;46.0565032;11.1322108;1
way/1292468525;public;no;-1;street_side;46.1272488;11.1163569;1
way/1301597999;public;yes;-1;street_side;46.0652623;11.1361675;1
node/1308053928;public;yes;7;street_side;46.0717973;11.1212791;1
node/1311008995;customers;no;1;surface;46.0577875;11.1331063;1
way/1314913927;public;no;-1;surface;46.0492217;11.129532;1
way/1319733474;customers;no;-1;surface;46.0568691;11.1284711;1
way/1321870564;permissive;no;22;surface;46.0830776;11.1169774;1
way/1327924487;public;no;-1;street_side;46.1238151;11.1321483;1
way/1327924488;public;no;-1;street_side;46.1239803;11.1320364;1
way/1327924489;public;no;-1;street_side;46.1238663;11.1323842;1
way/1330112697;public;yes;5;street_side;46.0610061;11.1306513;1
way/1330116923;public;yes;2;street_side;46.0612013;11.1309362;1
way/1330116924;public;no;-1;street_side;46.0612431;11.130999;1
way/1330116925;public;yes;4;street_side;46.0613532;11.1311594;1
way/1330119991;public;yes;3;street_side;46.0615981;11.131516;1
node/1364971658;customers;no;-1;surface;46.040944;11.0584899;1
node/1369533412;public;yes;80;underground;46.0677502;11.12494;1
node/1580347774;customers;no;-1;surface;46.0897504;11.1208452;1
node/1607399832;customers;no;-1;street_side;46.1007722;11.1027071;1
node/1618076274;public;no;-1;street_side;46.0718838;11.1237499;1
node/1667548247;permissive;no;-1;surface;46.0724882;11.1220315;1
node/1707679683;public;no;-1;street_side;46.0765708;11.1230076;1
