WKT;id;zona;tipologia;n_posti;fumetto;anno;nr_moduli;tot_bici;foto;codice_via;civico;barra;edificio;Tipo_generale;categoria
"LINESTRING (665000.081705704 5101719.98502549,665000.478693568 5101723.35942233)";"446";OLTREFERSINA;Bronzetti 5 posti;"5";;"2024";"1";"5";446.JPG;"2080";"22";;"SCUOLA PRIMARIA ""O. WINKLER""";Rastr_tradizionale;SCUOLA
"LINESTRING (665032.690367252 5101566.50958585,665036.067412378 5101563.25997639)";"212";OLTREFERSINA;Androna;"4";;"2023";"3";"12";212.JPG;"3720";"160";;;Rastr_tradizionale;
"LINESTRING (665086.30892336 5101624.39723674,665088.156740505 5101623.25031576)";"226";OLTREFERSINA;Androna;"4";;"2023";"4";"16";226.JPG;"3720";"150";;;Rastr_tradizionale;
"LINESTRING (663417.061004584 5102584.77895834,663417.082243862 5102583.64265699)";"172";S. GIUSEPPE_S. CHIARA;Archetto;"2";;"2023";"5";"10";172.JPG;"1930";"1";;"PIAZZALE ""MONTE BALDO""";Rastr_tradizionale;
"LINESTRING (664879.41070709 5103508.92458331,664883.577866217 5103506.57136404)";"137";S. GIUSEPPE_S. CHIARA;Verona 90;"6";;"2022";"2";"12";137.jpg;"1920";"36";;"OSPEDALE ""S. CAMILLO""";Rastr_bloccatelaio;
"LINESTRING (663411.783044113 5102584.82807417,663413.779536203 5102585.04046695)";"171";S. GIUSEPPE_S. CHIARA;Archetto;"2";;"2023";"5";"10";171.JPG;"1930";"1";;"PIAZZALE ""MONTE BALDO""";Rastr_bloccatelaio;
"LINESTRING (663424.707144493 5102586.92412537,663426.576200915 5102586.7966897)";"173";S. GIUSEPPE_S. CHIARA;Archetto;"2";;"2023";"5";"10";173.JPG;"1930";"1";;"PIAZZALE ""MONTE BALDO""";Rastr_bloccatelaio;
"LINESTRING (664214.329240741 5103938.1073926,664214.754729629 5103933.21427037)";"10";ZTL;Verona 90;"6";PIAZZA C. BATTISTI - nr. posti 6;"2022";"1";"6";10.jpg;"230";"1";;;Rastr_bloccatelaio;
"LINESTRING (665280.266005703 5103706.34555707,665278.991649052 5103705.74023766)";"338";OLTREFERSINA;Metallo 4 posti;"4";;"2023";"1";"4";338.JPG;"1690";;;;Rastr_tradizionale;
"LINESTRING (665277.048255158 5103704.21100968,665276.315500084 5103703.2871011)";"340";OLTREFERSINA;Metallo 5 posti;"5";;"2023";"1";"5";340.JPG;"1690";;;;Rastr_tradizionale;
"LINESTRING (665276.283641168 5103703.2871011,665274.72255427 5103700.26050406)";"341";OLTREFERSINA;Metallo 4 posti;"4";;"2023";"3";"12";341.JPG;"1690";;;;Rastr_tradizionale;
"LINESTRING (663573.344918423 5102835.11570288,663573.854661084 5102830.91032593)";"125";S. GIUSEPPE_S. CHIARA;Arco;"10";;"2023";"1";"10";125.JPG;"3842";"7";;;Rastr_tradizionale;
