service_id;byDay;start_date;end_date
62024091820250627;[monday, tuesday, wednesday, thursday, friday];20240918;20250627
62024091920250627;[monday, tuesday, wednesday, thursday, friday];20240919;20250627
62024092420250627;[monday, tuesday, wednesday, thursday, friday];20240924;20250627
62024092720250627;[monday, tuesday, wednesday, thursday, friday];20240927;20250627
62024102120250627;[monday, tuesday, wednesday, thursday, friday];20241021;20250627
72024090920250627;[sunday];20240909;20250627
72024093020241130;[sunday];20240930;20241130
72024101620241225;[sunday];20241016;20241225
72024102120250627;[sunday];20241021;20250627
72024103120250627;[sunday];20241031;20250627
72024120120250627;[sunday];20241201;20250627
72024122220250322;[sunday];20241222;20250322
72024122220250323;[sunday];20241222;20250323
72024122620250322;[sunday];20241226;20250322
72024122620250323;[sunday];20241226;20250323
92024090920250627;[monday, tuesday, wednesday, thursday, friday, saturday];20240909;20250627
92024102120250627;[monday, tuesday, wednesday, thursday, friday, saturday];20241021;20250627
302024090920250627;[];20240909;20250627
302024102120250627;[];20241021;20250627
322024090920250627;[monday, tuesday, wednesday, thursday, friday, saturday];20240909;20250627
352024090920250627;[];20240909;20250627
402024090920250627;[friday];20240909;20250627
412024090920250627;[wednesday];20240909;20250627
502024090920250627;[thursday];20240909;20250627
822024090920250627;[saturday];20240909;20250627
822024091420250627;[saturday];20240914;20250627
822024091820250627;[saturday];20240918;20250627
822024102120250627;[saturday];20241021;20250627
4512024090920250627;[saturday];20240909;20250627
4512024091420250627;[saturday];20240914;20250627
4512024092520250627;[saturday];20240925;20250627
4512024093020241130;[saturday];20240930;20241130
4512024102120250627;[saturday];20241021;20250627
4512024120120250627;[saturday];20241201;20250627
5552024090920250627;[tuesday, wednesday, friday];20240909;20250627
5902024090920250627;[monday, tuesday, wednesday, thursday, friday];20240909;20250627
5902024102120250627;[monday, tuesday, wednesday, thursday, friday];20241021;20250627
5902024122320250214;[monday, tuesday, wednesday, thursday, friday];20241223;20250214
5902024122420250214;[monday, tuesday, wednesday, thursday, friday];20241224;20250214
6202024090920250627;[monday, tuesday, wednesday, thursday, friday, saturday];20240909;20250627
6202024120820250316;[monday, tuesday, wednesday, thursday, friday, saturday];20241208;20250316
6212024120820250316;[sunday];20241208;20250316
6222024120820250316;[monday, tuesday, wednesday, thursday, friday];20241208;20250316
6232024120820250316;[saturday];20241208;20250316
6232024121820250316;[saturday];20241218;20250316
6272024090920250627;[tuesday];20240909;20250627
6362024090920250627;[friday];20240909;20250627
6362024101820250627;[friday];20241018;20250627
6372024090920250627;[monday, tuesday, wednesday, thursday];20240909;20250627
6462024090920250627;[saturday];20240909;20250627
6512024090920250627;[monday];20240909;20250627
6532024090920250627;[monday, thursday];20240909;20250627
6552024090920250627;[tuesday];20240909;20250627
6562024090920250627;[thursday];20240909;20250627
6572024090920250627;[wednesday];20240909;20250627
6782024090920250627;[tuesday, wednesday, thursday, friday];20240909;20250627
