id;type;capacity;latitude;longitude
107;bloccatelaio;14;46.0728884;11.1231485
444;tradizionale;12;46.0651783;11.1219279
76;tradizionale;15;46.0597474;11.1213164
100;tradizionale;20;46.0724883;11.1201553
101;bloccatelaio;42;46.0720941;11.1198501
102;bloccatelaio;18;46.0719166;11.1197269
104;bloccatelaio;4;46.0715952;11.1193238
67;tradizionale;6;46.1000082;11.1018332
72;tradizionale;4;46.0738262;11.1228762
73;tradizionale;8;46.0652262;11.1194044
54;tradizionale;8;46.0699070;11.1177246
299;bloccatelaio;6;46.0906767;11.1175976
66;tradizionale;12;46.0997086;11.1025840
105;tradizionale;8;46.0711283;11.1235996
106;tradizionale;8;46.0733404;11.1216536
407;tradizionale;6;46.0060334;11.1280901
164;bloccatelaio;5;46.0595951;11.1147456
408;bloccatelaio;10;46.0062174;11.1286256
165;bloccatelaio;5;46.0594260;11.1147691
410;tradizionale;7;46.0064673;11.1308263
157;tradizionale;18;46.0667046;11.1151935
158;tradizionale;6;46.0663006;11.1146061
128;tradizionale;8;46.0674369;11.1271663
84;bloccatelaio;24;46.0552038;11.1195077
411;tradizionale;7;46.0064853;11.1308479
136;tradizionale;10;46.0646314;11.1289357
151;bloccatelaio;3;46.0676037;11.1280945
152;bloccatelaio;3;46.0676675;11.1281580
448;tradizionale;6;46.0492300;11.1328149
449;tradizionale;6;46.0492607;11.1328200
160;bloccatelaio;9;46.0635362;11.1179856
447;tradizionale;5;46.0492000;11.1328093
450;tradizionale;5;46.0493135;11.1328340
129;tradizionale;8;46.0672813;11.1271346
153;bloccatelaio;6;46.0671856;11.1285315
127;bloccatelaio;12;46.0696312;11.1280212
409;bloccatelaio;10;46.0062679;11.1297666
156;tradizionale;12;46.0669345;11.1150446
413;tradizionale;7;46.0074976;11.1294997
161;bloccatelaio;15;46.0600569;11.1145898
412;tradizionale;7;46.0074788;11.1294943
166;bloccatelaio;5;46.0606419;11.1141088
131;tradizionale;20;46.0671067;11.1261805
132;tradizionale;12;46.0660381;11.1247392
133;tradizionale;10;46.0654996;11.1256611
134;tradizionale;4;46.0654835;11.1257226
130;bloccatelaio;12;46.0671799;11.1276312
414;tradizionale;7;46.0082320;11.1297640
435;tradizionale;5;46.0373643;11.1106488
415;tradizionale;4;46.0897365;11.1318091
416;tradizionale;4;46.0769675;11.1415936
417;tradizionale;4;46.0768278;11.1422063
191;bloccatelaio;6;46.0771945;11.1207275
120;tradizionale;4;46.0672723;11.1173512
422;tradizionale;6;46.0647141;11.1532298
178;tradizionale;6;46.0742052;11.1170724
179;tradizionale;6;46.0749028;11.1188689
421;bloccatelaio;10;46.0884796;11.1344777
451;tradizionale;5;46.0493347;11.1328393
452;tradizionale;6;46.0493705;11.1328472
454;tradizionale;6;46.1248655;11.1153212
455;tradizionale;6;46.1248926;11.1153190
456;tradizionale;5;46.1336757;11.1358283
90;tradizionale;24;46.0673541;11.1189551
180;tradizionale;4;46.0747804;11.1188093
89;tradizionale;6;46.0674203;11.1189403
91;tradizionale;30;46.0677347;11.1188744
175;bloccatelaio;8;46.0673579;11.1172319
423;tradizionale;6;46.0646800;11.1532551
